"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"1621","Judith Basin County, Montana",0.6,"9.7 (9.2, 10.3)","0.1 (0.1, 0.1)",9.6,49.7,0,1.1
"1622","Lake County, Montana",7.2,"9.8 (9.3, 10.4)","0.7 (0.7, 0.7)",10.6,51.1,0.1,1.4
"1623","Lewis and Clark County, Montana",13.9,"9.6 (9.1, 10.1)","1.3 (1.3, 1.4)",10.7,52.5,0.1,1.1
"1624","Liberty County, Montana",0.6,"13.4 (12.8, 14)","0.1 (0.1, 0.1)",22.7,51.5,0.2,0.2
"1625","Lincoln County, Montana",6.2,"9.2 (8.7, 9.7)","0.6 (0.5, 0.6)",8.4,48.5,0.2,1.4
"1626","McCone County, Montana",0.4,"11.1 (10.5, 11.7)","0 (0, 0.1)",14,48.7,0.2,0.7
"1627","Madison County, Montana",2.8,"9.3 (8.8, 9.8)","0.3 (0.2, 0.3)",9.1,47.5,0.3,1.3
"1628","Meagher County, Montana",0.6,"9.7 (9.2, 10.2)","0.1 (0.1, 0.1)",11,49.1,0,0.7
"1629","Mineral County, Montana",1.4,"9.3 (8.8, 9.8)","0.1 (0.1, 0.1)",8.8,47.9,0.4,1.9
"1630","Missoula County, Montana",20.4,"9.3 (8.8, 9.8)","1.9 (1.8, 2)",9.4,52.7,0.3,1.2
"1631","Musselshell County, Montana",1.3,"9.1 (8.6, 9.6)","0.1 (0.1, 0.1)",8.9,49.8,0.2,1.2
"1632","Park County, Montana",4.1,"9.6 (9.1, 10.1)","0.4 (0.4, 0.4)",10.3,51.8,0.1,1.3
"1633","Petroleum County, Montana",0.1,"11.9 (11.3, 12.5)","0 (0, 0)",15.3,47.9,0,0
"1634","Phillips County, Montana",0.9,"10.8 (10.2, 11.3)","0.1 (0.1, 0.1)",13.5,52.8,0.1,0.9
"1635","Pondera County, Montana",1.2,"11.7 (11.2, 12.3)","0.1 (0.1, 0.2)",17.4,53.5,0.2,0.6
"1636","Powder River County, Montana",0.5,"10.6 (10.1, 11.1)","0.1 (0.1, 0.1)",14.3,50.4,0,0.4
"1637","Powell County, Montana",1.4,"9.9 (9.4, 10.4)","0.1 (0.1, 0.1)",10.7,47.3,0.1,1
"1638","Prairie County, Montana",0.4,"10.2 (9.7, 10.7)","0 (0, 0)",12.4,49.9,0.3,0.6
"1639","Ravalli County, Montana",12.3,"9.5 (8.9, 10)","1.2 (1.1, 1.2)",9,51.5,0.2,1.7
"1640","Richland County, Montana",1.7,"10 (9.5, 10.6)","0.2 (0.2, 0.2)",11.5,48,0.1,2.3
"1641","Roosevelt County, Montana",1.3,"9.5 (9, 10)","0.1 (0.1, 0.1)",10.4,54.8,0.2,0.8
"1642","Rosebud County, Montana",1.5,"9.5 (9, 10)","0.1 (0.1, 0.1)",9.6,51.3,0.3,1.9
"1643","Sanders County, Montana",3.9,"9.4 (8.9, 9.9)","0.4 (0.3, 0.4)",8.8,48.3,0.2,1.4
"1644","Sheridan County, Montana",0.8,"11.1 (10.6, 11.7)","0.1 (0.1, 0.1)",14.6,52.5,0.2,0.4
"1645","Silver Bow County, Montana",6.9,"10.3 (9.7, 10.8)","0.7 (0.7, 0.7)",11.6,53.8,0.2,2.1
"1646","Stillwater County, Montana",2.4,"9.3 (8.8, 9.8)","0.2 (0.2, 0.2)",9.6,48.7,0.2,1.7
"1647","Sweet Grass County, Montana",1,"11.5 (11, 12.1)","0.1 (0.1, 0.1)",16.5,50.9,0.3,1.4
"1648","Teton County, Montana",1.4,"11.8 (11.2, 12.4)","0.2 (0.2, 0.2)",15.7,52.3,0.4,0.6
"1649","Toole County, Montana",0.9,"10.9 (10.4, 11.4)","0.1 (0.1, 0.1)",15.4,50.1,0.6,1.1
"1650","Treasure County, Montana",0.2,"12.1 (11.4, 12.7)","0 (0, 0)",17,51.9,0,2.9
"1651","Valley County, Montana",1.8,"11.6 (11, 12.2)","0.2 (0.2, 0.2)",15.8,52.3,0.4,1.1
"1652","Wheatland County, Montana",0.6,"10.3 (9.8, 10.9)","0.1 (0.1, 0.1)",13,51.4,0.4,1.1
"1653","Wibaux County, Montana",0.2,"11.3 (10.8, 11.9)","0 (0, 0)",14.2,53.7,0.4,0.8
"1654","Yellowstone County, Montana",29,"10.4 (9.9, 11)","3 (2.9, 3.2)",12.7,55,0.1,1.8
"1655","Adams County, Nebraska",6,"11 (10.4, 11.6)","0.7 (0.6, 0.7)",14.1,55.1,0.4,2.5
"1656","Antelope County, Nebraska",1.6,"11.5 (10.9, 12)","0.2 (0.2, 0.2)",14.5,53.3,0.2,1.1
"1657","Arthur County, Nebraska",0.1,"11.1 (10.5, 11.7)","0 (0, 0)",12,52.8,0,0
"1658","Banner County, Nebraska",0.2,"9.2 (8.7, 9.7)","0 (0, 0)",10.4,45.3,0,1
"1659","Blaine County, Nebraska",0.1,"10.7 (10.1, 11.2)","0 (0, 0)",12.3,52.8,0.9,4.7
"1660","Boone County, Nebraska",1.2,"12.5 (11.9, 13.1)","0.2 (0.1, 0.2)",18.5,54.5,0.2,0.3
"1661","Box Butte County, Nebraska",2.1,"10.6 (10, 11.2)","0.2 (0.2, 0.2)",13.4,52.5,0.6,5
"1662","Boyd County, Nebraska",0.6,"11.6 (11.1, 12.2)","0.1 (0.1, 0.1)",16.3,52.6,0.2,0.5
"1663","Brown County, Nebraska",0.8,"12.1 (11.6, 12.7)","0.1 (0.1, 0.1)",17.3,53.9,0,0
"1664","Buffalo County, Nebraska",8,"11.2 (10.6, 11.8)","0.9 (0.9, 0.9)",14.8,55.9,0.3,3
"1665","Burt County, Nebraska",1.6,"12.1 (11.5, 12.7)","0.2 (0.2, 0.2)",17.7,54.4,0.2,0.6
"1666","Butler County, Nebraska",1.7,"11.3 (10.8, 11.9)","0.2 (0.2, 0.2)",15.4,54.2,0.3,0.5
"1667","Cass County, Nebraska",4.9,"9.9 (9.4, 10.4)","0.5 (0.5, 0.5)",11.5,52.7,0.2,0.8
"1668","Cedar County, Nebraska",1.9,"12.3 (11.7, 12.9)","0.2 (0.2, 0.2)",18.4,53,0.1,0.4
"1669","Chase County, Nebraska",0.8,"12.5 (11.9, 13.2)","0.1 (0.1, 0.1)",19,54.4,0.1,2.3
"1670","Cherry County, Nebraska",1.3,"11.8 (11.2, 12.4)","0.2 (0.1, 0.2)",16,52.2,0.2,0.5
"1671","Cheyenne County, Nebraska",2,"11.1 (10.5, 11.7)","0.2 (0.2, 0.2)",14.2,54.1,0.3,3.4
"1672","Clay County, Nebraska",1.3,"10.8 (10.2, 11.3)","0.1 (0.1, 0.1)",13.7,50.9,0,2.3
"1673","Colfax County, Nebraska",1.5,"11.5 (10.8, 12.2)","0.2 (0.2, 0.2)",14.9,51,0.6,10.2
"1674","Cuming County, Nebraska",2,"12.7 (12.1, 13.3)","0.2 (0.2, 0.3)",19,53.4,0.3,1.5
"1675","Custer County, Nebraska",2.5,"11.7 (11.1, 12.2)","0.3 (0.3, 0.3)",16.1,53.9,0.2,0.8
"1676","Dakota County, Nebraska",2.8,"10.8 (10.1, 11.5)","0.3 (0.3, 0.3)",11.3,53.9,1.7,10.4
"1677","Dawes County, Nebraska",1.6,"12.1 (11.4, 12.7)","0.2 (0.2, 0.2)",16.7,53.8,0.4,3.1
"1678","Dawson County, Nebraska",4,"11.4 (10.7, 12.1)","0.5 (0.4, 0.5)",13.9,53.1,1.1,11.5
"1679","Deuel County, Nebraska",0.5,"10.7 (10.1, 11.3)","0 (0, 0.1)",11.7,51.2,0.2,3
"1680","Dixon County, Nebraska",1.2,"10.7 (10.1, 11.2)","0.1 (0.1, 0.1)",13.1,52.3,0.2,3.2
"1681","Dodge County, Nebraska",7,"11.7 (11.1, 12.3)","0.8 (0.8, 0.9)",15.8,55.4,0.3,2
"1682","Douglas County, Nebraska",79.1,"10.9 (10.3, 11.5)","8.6 (8.1, 9.1)",11.7,56.1,8,3.7
"1683","Dundy County, Nebraska",0.4,"10.9 (10.3, 11.5)","0 (0, 0)",12.8,53.1,0.2,1.4
"1684","Fillmore County, Nebraska",1.3,"11.8 (11.2, 12.4)","0.2 (0.1, 0.2)",17,54.3,0.2,0.6
"1685","Franklin County, Nebraska",0.8,"11.6 (11, 12.2)","0.1 (0.1, 0.1)",16,50.8,0.1,0.5
"1686","Frontier County, Nebraska",0.7,"11.9 (11.3, 12.4)","0.1 (0.1, 0.1)",16.8,53,0.2,0.9
"1687","Furnas County, Nebraska",1.2,"11 (10.4, 11.6)","0.1 (0.1, 0.1)",13.6,55.7,0,1.2
"1688","Gage County, Nebraska",4.6,"11.7 (11.1, 12.2)","0.5 (0.5, 0.6)",16.4,53.8,0.3,0.7
"1689","Garden County, Nebraska",0.5,"11.7 (11.1, 12.3)","0.1 (0.1, 0.1)",13.5,52,0.4,2.1
"1690","Garfield County, Nebraska",0.6,"12.2 (11.6, 12.8)","0.1 (0.1, 0.1)",16.1,52.4,0,1
"1691","Gosper County, Nebraska",0.5,"11.8 (11.3, 12.4)","0.1 (0.1, 0.1)",16.4,48.1,0,0.4
"1692","Grant County, Nebraska",0.2,"9 (8.5, 9.5)","0 (0, 0)",5.9,49,0,0.7
"1693","Greeley County, Nebraska",0.6,"12.9 (12.3, 13.6)","0.1 (0.1, 0.1)",20.2,52.5,0.2,0.5
"1694","Hall County, Nebraska",9.3,"10.9 (10.2, 11.5)","1 (0.9, 1.1)",12.6,54.8,0.6,7.5
"1695","Hamilton County, Nebraska",1.9,"11.4 (10.9, 12)","0.2 (0.2, 0.2)",15.5,53.3,0.1,0.9
"1696","Harlan County, Nebraska",0.9,"11 (10.5, 11.6)","0.1 (0.1, 0.1)",13.9,49.8,0.2,1.6
"1697","Hayes County, Nebraska",0.3,"12 (11.4, 12.6)","0 (0, 0)",17.3,46.9,0,1.5
"1698","Hitchcock County, Nebraska",0.7,"10.9 (10.4, 11.5)","0.1 (0.1, 0.1)",13.7,53.2,0.3,0.8
"1699","Holt County, Nebraska",2.3,"11.3 (10.8, 11.9)","0.3 (0.2, 0.3)",15.3,52.9,0.1,1.1
"1700","Hooker County, Nebraska",0.2,"13.9 (13.3, 14.6)","0 (0, 0)",23.2,55.1,0.5,1.5
"1701","Howard County, Nebraska",1.4,"11 (10.5, 11.6)","0.2 (0.1, 0.2)",13.5,51.9,0.4,0.8
"1702","Jefferson County, Nebraska",1.7,"11.5 (10.9, 12)","0.2 (0.2, 0.2)",15.7,53.3,0.1,1.1
"1703","Johnson County, Nebraska",0.9,"11.6 (11, 12.2)","0.1 (0.1, 0.1)",15.9,54.2,0.6,2.6
"1704","Kearney County, Nebraska",1.3,"11.3 (10.8, 11.9)","0.2 (0.1, 0.2)",15.1,53.9,0.1,2.2
"1705","Keith County, Nebraska",2.2,"10.7 (10.1, 11.3)","0.2 (0.2, 0.2)",11.6,52.2,0.3,3.4
"1706","Keya Paha County, Nebraska",0.2,"12.4 (11.8, 13)","0 (0, 0)",15.8,51.4,0,0
"1707","Kimball County, Nebraska",0.9,"11.9 (11.2, 12.5)","0.1 (0.1, 0.1)",15.4,54.1,0.4,3.4
"1708","Knox County, Nebraska",2.2,"12.2 (11.6, 12.8)","0.3 (0.3, 0.3)",17.8,55.3,0.2,0.4
"1709","Lancaster County, Nebraska",47.5,"10.2 (9.7, 10.8)","4.9 (4.6, 5.1)",11.7,55.3,1.6,2.2
"1710","Lincoln County, Nebraska",7.1,"11 (10.4, 11.6)","0.8 (0.7, 0.8)",13.6,54.5,0.4,4.1
"1711","Logan County, Nebraska",0.2,"10.3 (9.8, 10.8)","0 (0, 0)",10.7,53.7,0,0.6
"1712","Loup County, Nebraska",0.2,"8.9 (8.4, 9.4)","0 (0, 0)",6.2,52.5,0,0
"1713","McPherson County, Nebraska",0.1,"11.8 (11.2, 12.4)","0 (0, 0)",17.5,45.8,0,0
"1714","Madison County, Nebraska",5.8,"11.5 (10.9, 12.1)","0.7 (0.6, 0.7)",16.1,54.6,0.5,4.1
"1715","Merrick County, Nebraska",1.7,"11.2 (10.6, 11.8)","0.2 (0.2, 0.2)",14,52.6,0.2,0.8
"1716","Morrill County, Nebraska",1,"11.6 (11, 12.3)","0.1 (0.1, 0.1)",14.9,50.9,0.3,5.8
"1717","Nance County, Nebraska",0.8,"11.7 (11.1, 12.2)","0.1 (0.1, 0.1)",16.8,57.8,0.7,2.1
"1718","Nemaha County, Nebraska",1.4,"11 (10.4, 11.5)","0.2 (0.2, 0.2)",14.3,52.2,0.3,1.2
"1719","Nuckolls County, Nebraska",1.1,"12 (11.4, 12.6)","0.1 (0.1, 0.1)",16.4,54.9,0.3,0.5
"1720","Otoe County, Nebraska",3.3,"11.8 (11.2, 12.4)","0.4 (0.4, 0.4)",16.7,55.4,0.2,2.1
"1721","Pawnee County, Nebraska",0.8,"12.4 (11.8, 13)","0.1 (0.1, 0.1)",18.3,53.3,0,0.5
"1722","Perkins County, Nebraska",0.7,"11.7 (11.2, 12.3)","0.1 (0.1, 0.1)",16.4,52.1,0.4,0.9
"1723","Phelps County, Nebraska",1.9,"12.5 (11.8, 13.1)","0.2 (0.2, 0.2)",17.5,55.8,0.1,1.3
"1724","Pierce County, Nebraska",1.4,"11.7 (11.1, 12.2)","0.2 (0.2, 0.2)",16.3,52.2,0.1,0.6
"1725","Platte County, Nebraska",6,"11.4 (10.8, 12)","0.7 (0.6, 0.7)",15.3,53.9,0.2,4.3
"1726","Polk County, Nebraska",1.2,"11.1 (10.5, 11.6)","0.1 (0.1, 0.1)",15.2,50.9,0.1,0.6
"1727","Red Willow County, Nebraska",2.3,"12 (11.4, 12.6)","0.3 (0.3, 0.3)",16.8,54.5,0.2,1.8
"1728","Richardson County, Nebraska",1.9,"12.1 (11.5, 12.7)","0.2 (0.2, 0.2)",17.6,53.3,0.4,0.9
"1729","Rock County, Nebraska",0.4,"10.4 (9.9, 10.9)","0 (0, 0)",14.6,54.1,0,0
"1730","Saline County, Nebraska",2.1,"10.9 (10.3, 11.5)","0.2 (0.2, 0.2)",13.6,53.8,0.2,5.4
"1731","Sarpy County, Nebraska",23.6,"10.3 (9.8, 10.9)","2.4 (2.3, 2.6)",11.1,55.3,3.1,3.6
"1732","Saunders County, Nebraska",4.1,"10.7 (10.2, 11.3)","0.4 (0.4, 0.5)",13.2,52.2,0.4,0.9
"1733","Scotts Bluff County, Nebraska",7,"11.7 (11, 12.4)","0.8 (0.8, 0.9)",15,56.6,0.2,11.4
"1734","Seward County, Nebraska",3.1,"11 (10.5, 11.6)","0.3 (0.3, 0.4)",14.4,52.3,0.2,0.5
"1735","Sheridan County, Nebraska",1.4,"11.9 (11.3, 12.5)","0.2 (0.2, 0.2)",17,56.1,0.3,0.9
"1736","Sherman County, Nebraska",0.8,"11.7 (11.2, 12.3)","0.1 (0.1, 0.1)",16.3,53,0.5,0.2
"1737","Sioux County, Nebraska",0.4,"12.3 (11.7, 12.9)","0 (0, 0)",19.9,48.1,0,1.3
"1738","Stanton County, Nebraska",1.1,"10.6 (10.1, 11.2)","0.1 (0.1, 0.1)",12.8,52.6,0.4,0.9
"1739","Thayer County, Nebraska",1.2,"11.5 (10.9, 12)","0.1 (0.1, 0.1)",15.4,53.9,0.2,0.7
"1740","Thomas County, Nebraska",0.2,"10 (9.5, 10.5)","0 (0, 0)",11.6,51.6,0,1.4
"1741","Thurston County, Nebraska",0.9,"10.5 (9.9, 11)","0.1 (0.1, 0.1)",12.9,53.2,0.2,1.1
"1742","Valley County, Nebraska",1,"11.1 (10.6, 11.7)","0.1 (0.1, 0.1)",14,52.2,0,0.7
"1743","Washington County, Nebraska",3.9,"10 (9.4, 10.5)","0.4 (0.4, 0.4)",11.6,53.6,0.3,0.5
"1744","Wayne County, Nebraska",1.6,"12.2 (11.6, 12.8)","0.2 (0.2, 0.2)",18.6,51.8,0.4,1.3
"1745","Webster County, Nebraska",0.8,"11.5 (11, 12.1)","0.1 (0.1, 0.1)",14.6,55.9,0.3,0.6
"1746","Wheeler County, Nebraska",0.2,"11.6 (11, 12.2)","0 (0, 0)",16.2,52.7,0,0
"1747","York County, Nebraska",2.9,"11.8 (11.2, 12.4)","0.3 (0.3, 0.4)",16.4,55.4,0.2,1.2
"1748","Churchill County, Nevada",4.9,"10 (9.4, 10.6)","0.5 (0.5, 0.5)",9.3,52.1,1.3,5.5
"1749","Clark County, Nevada",359.5,"10.9 (10.2, 11.7)","39.3 (36.6, 42)",9.1,53.6,9.3,13.5
"1750","Douglas County, Nevada",15.3,"9.9 (9.3, 10.5)","1.5 (1.4, 1.6)",9.8,50.5,0.5,5
"1751","Elko County, Nevada",6.7,"10 (9.3, 10.7)","0.7 (0.6, 0.7)",9.8,49.8,0.6,12.5
"1752","Esmeralda County, Nevada",0.3,"12 (11.3, 12.7)","0 (0, 0)",15,42.7,1.7,5.7
"1753","Eureka County, Nevada",0.4,"10 (9.4, 10.6)","0 (0, 0)",11,44.5,0.5,6.8
"1754","Humboldt County, Nevada",2.6,"9.5 (8.8, 10.2)","0.2 (0.2, 0.3)",8.3,49.5,0.6,14.5
"1755","Lander County, Nevada",0.9,"10.6 (9.9, 11.4)","0.1 (0.1, 0.1)",10.3,51.1,0.8,12.1
"1756","Lincoln County, Nevada",1.3,"10.1 (9.6, 10.7)","0.1 (0.1, 0.1)",10,47.7,0.9,2.8
"1757","Lyon County, Nevada",12.7,"9.1 (8.6, 9.7)","1.2 (1.1, 1.2)",7,50.5,0.7,6.8
"1758","Mineral County, Nevada",1.2,"11.2 (10.5, 11.9)","0.1 (0.1, 0.1)",11.2,51.3,4.2,6.9
"1759","Nye County, Nevada",15,"9.7 (9.1, 10.3)","1.5 (1.4, 1.5)",7.8,49.5,2.5,6.4
"1760","Pershing County, Nevada",1.1,"10.1 (9.4, 10.7)","0.1 (0.1, 0.1)",8.1,44.6,1.1,9.7
"1761","Storey County, Nevada",1.4,"9 (8.5, 9.5)","0.1 (0.1, 0.1)",7.4,48.8,1.5,3.6
"1762","Washoe County, Nevada",82.3,"9.7 (9.1, 10.3)","8 (7.5, 8.5)",8.6,52.5,1.6,9
"1763","White Pine County, Nevada",1.9,"11.2 (10.5, 11.9)","0.2 (0.2, 0.2)",12.7,48.3,0.8,8.1
"1764","Carson City, Nevada",11.9,"10.5 (9.8, 11.1)","1.2 (1.2, 1.3)",10.7,54.3,0.8,8.3
"1765","Belknap County, New Hampshire",14.5,"9.7 (9.2, 10.2)","1.4 (1.3, 1.5)",10.8,52.5,0.3,0.7
"1766","Carroll County, New Hampshire",14.6,"9.5 (9, 10)","1.4 (1.3, 1.5)",10.2,51.3,0.3,0.5
"1767","Cheshire County, New Hampshire",16.3,"9.9 (9.4, 10.4)","1.6 (1.5, 1.7)",11,53.7,0.4,0.6
"1768","Coos County, New Hampshire",7.8,"10.3 (9.7, 10.8)","0.8 (0.8, 0.8)",12.4,51.9,0.2,0.4
"1769","Grafton County, New Hampshire",20,"10.2 (9.7, 10.7)","2 (1.9, 2.1)",12,52.6,0.4,0.7
"1770","Hillsborough County, New Hampshire",69.9,"10.4 (9.9, 11)","7.3 (6.9, 7.7)",12.4,54.9,1,2.3
"1771","Merrimack County, New Hampshire",29.5,"10.2 (9.6, 10.7)","3 (2.8, 3.1)",12.2,55.1,0.4,0.7
"1772","Rockingham County, New Hampshire",59.6,"9.8 (9.3, 10.3)","5.9 (5.6, 6.2)",10.9,54.1,0.5,1
"1773","Strafford County, New Hampshire",21.1,"10.1 (9.6, 10.6)","2.1 (2, 2.2)",11.8,55,0.7,0.8
"1774","Sullivan County, New Hampshire",9.9,"10 (9.5, 10.5)","1 (0.9, 1)",11.7,53.6,0.4,0.5
"1775","Atlantic County, New Jersey",50.4,"11.7 (11, 12.4)","5.9 (5.6, 6.2)",11.6,55.5,11.5,7.4
"1776","Bergen County, New Jersey",167.6,"12.1 (11.4, 12.9)","20.3 (19.1, 21.6)",14.6,56.3,4.6,10.8
"1777","Burlington County, New Jersey",79.5,"12.2 (11.5, 12.8)","9.7 (9.2, 10.2)",12.9,56.7,14.1,3.3
"1778","Camden County, New Jersey",82.8,"12.4 (11.7, 13)","10.2 (9.7, 10.8)",12.9,57.4,15.6,7.4
"1779","Cape May County, New Jersey",25.8,"10.5 (10, 11.1)","2.7 (2.6, 2.9)",11.5,55.1,2.6,1.6
"1780","Cumberland County, New Jersey",23.4,"12.2 (11.4, 13)","2.9 (2.7, 3)",11.9,55.9,13,14.7
"1781","Essex County, New Jersey",114.1,"15 (14.1, 15.9)","17.1 (16.1, 18.1)",13.8,58.7,35.2,14.3
"1782","Gloucester County, New Jersey",49.2,"10.9 (10.3, 11.5)","5.4 (5.1, 5.6)",11.3,56.2,8.7,2.5
"1783","Hudson County, New Jersey",83.8,"13.9 (12.5, 15.3)","11.7 (10.5, 12.8)",12.9,58.2,9.7,42.7
"1784","Hunterdon County, New Jersey",25.1,"10.4 (9.9, 11)","2.6 (2.5, 2.8)",12.2,53.1,1.5,2.4
"1785","Mercer County, New Jersey",59,"12.8 (12.1, 13.5)","7.6 (7.2, 8)",14.1,57.2,16.4,6.9
"1786","Middlesex County, New Jersey",130.6,"11.7 (11, 12.5)","15.3 (14.4, 16.3)",12.8,56,7.5,11
"1787","Monmouth County, New Jersey",116,"11.4 (10.8, 12)","13.2 (12.5, 13.9)",13.4,56,5.8,4.3
"1788","Morris County, New Jersey",88.1,"11.6 (10.9, 12.3)","10.2 (9.6, 10.8)",14.3,55.7,2.5,6.2
"1789","Ocean County, New Jersey",140.7,"11.5 (10.9, 12.1)","16.2 (15.3, 17)",13.8,57.3,1.9,3.6
"1790","Passaic County, New Jersey",76.8,"12.8 (11.8, 13.9)","9.8 (9.1, 10.6)",12.9,56.6,8.9,27
"1791","Salem County, New Jersey",12.1,"12 (11.4, 12.6)","1.5 (1.4, 1.5)",13.7,55.6,11.5,2.8
"1792","Somerset County, New Jersey",55.1,"12.1 (11.4, 12.8)","6.7 (6.3, 7)",14.7,56.5,7.8,6.3
"1793","Sussex County, New Jersey",26.3,"9.8 (9.2, 10.3)","2.6 (2.4, 2.7)",10.1,53.3,1.4,3.8
"1794","Union County, New Jersey",83.3,"13.8 (12.9, 14.7)","11.5 (10.7, 12.3)",13.9,57.2,20.1,19
"1795","Warren County, New Jersey",20.3,"11.1 (10.5, 11.7)","2.3 (2.1, 2.4)",13.4,55.4,2.6,3.9
"1796","Bernalillo County, New Mexico",118.4,"11.9 (10.8, 13.1)","14.1 (12.8, 15.5)",11.2,55.8,2.2,33.9
"1797","Catron County, New Mexico",1.6,"10.2 (9.4, 11.1)","0.2 (0.1, 0.2)",8.1,46,0.9,15.6
"1798","Chaves County, New Mexico",10.5,"12.6 (11.5, 13.8)","1.3 (1.2, 1.4)",13,54.7,1.7,36.5
"1799","Cibola County, New Mexico",4.6,"12 (10.9, 13.1)","0.5 (0.5, 0.6)",12,54.8,0.9,31.4
"1800","Colfax County, New Mexico",3.4,"12.1 (10.9, 13.3)","0.4 (0.4, 0.5)",11.4,51.5,0.3,34.3
"1801","Curry County, New Mexico",6.4,"12.4 (11.4, 13.4)","0.8 (0.7, 0.9)",12.6,55.6,4.7,26.1
"1802","De Baca County, New Mexico",0.5,"12.6 (11.4, 13.7)","0.1 (0.1, 0.1)",13.5,51.4,0.2,30.4
"1803","Doña Ana County, New Mexico",37,"12.9 (11.5, 14.3)","4.8 (4.2, 5.3)",11.4,53.5,1.3,47.8
"1804","Eddy County, New Mexico",8.5,"12.2 (11.1, 13.4)","1 (0.9, 1.1)",12.3,54,1.6,35
"1805","Grant County, New Mexico",7.9,"12.1 (10.9, 13.2)","0.9 (0.9, 1)",10.9,52.1,0.4,33.7
"1806","Guadalupe County, New Mexico",0.9,"15.5 (13.4, 17.6)","0.1 (0.1, 0.2)",13,49.1,0.3,75.1
"1807","Harding County, New Mexico",0.3,"15.1 (13.7, 16.6)","0 (0, 0)",22,50.4,0.4,36.6
"1808","Hidalgo County, New Mexico",1,"13.4 (11.9, 14.8)","0.1 (0.1, 0.1)",12.6,52.2,0.9,46
"1809","Lea County, New Mexico",8.1,"12.2 (11.1, 13.4)","1 (0.9, 1.1)",12.1,54.1,3.8,33.3
"1810","Lincoln County, New Mexico",6.1,"10.5 (9.7, 11.4)","0.6 (0.6, 0.7)",9.4,52.5,0.5,17
"1811","Los Alamos County, New Mexico",3.6,"11.1 (10.4, 11.8)","0.4 (0.4, 0.4)",12.5,52.3,0.6,9.7
"1812","Luna County, New Mexico",5,"12.8 (11.5, 14.2)","0.6 (0.6, 0.7)",11,51.2,1.3,42.2
"1813","McKinley County, New Mexico",9.5,"10.6 (9.9, 11.4)","1 (0.9, 1.1)",10.9,58.8,0.6,13.2
"1814","Mora County, New Mexico",1.3,"14.1 (12.2, 16)","0.2 (0.2, 0.2)",11.8,48.4,0.3,69.2
"1815","Otero County, New Mexico",12.1,"12 (11, 13)","1.4 (1.3, 1.6)",12.1,52.4,2.6,23.1
"1816","Quay County, New Mexico",2.2,"11.8 (10.7, 12.8)","0.3 (0.2, 0.3)",11,52.7,0.9,31.2
"1817","Rio Arriba County, New Mexico",8,"13.8 (12.1, 15.6)","1.1 (1, 1.2)",11.6,54.1,0.4,64.8
"1818","Roosevelt County, New Mexico",2.8,"12 (11.1, 13)","0.3 (0.3, 0.4)",13.2,53.3,0.8,24.6
"1819","Sandoval County, New Mexico",28.5,"10.6 (9.7, 11.5)","3 (2.8, 3.3)",8.9,54.4,2,24
"1820","San Juan County, New Mexico",19.9,"10.8 (10, 11.5)","2.1 (2, 2.3)",11.7,55,0.4,12.3
"1821","San Miguel County, New Mexico",6.4,"13.2 (11.5, 15)","0.8 (0.7, 1)",9.3,53.7,0.7,67
"1822","Santa Fe County, New Mexico",40,"10.8 (9.7, 11.8)","4.3 (3.9, 4.7)",8.7,54.6,0.7,28.7
"1823","Sierra County, New Mexico",4.1,"11.6 (10.8, 12.4)","0.5 (0.4, 0.5)",11.8,49.6,0.7,15.6
"1824","Socorro County, New Mexico",3.4,"12.1 (10.8, 13.3)","0.4 (0.4, 0.5)",10.1,52.2,0.8,41
"1825","Taos County, New Mexico",9.3,"12.1 (10.8, 13.4)","1.1 (1, 1.3)",10.1,53.8,0.5,42.1
"1826","Torrance County, New Mexico",3.4,"10.7 (9.7, 11.7)","0.4 (0.3, 0.4)",8.7,49.5,0.9,29.4
"1827","Union County, New Mexico",0.9,"13 (11.9, 14.2)","0.1 (0.1, 0.1)",14.8,56.6,0.5,31
"1828","Valencia County, New Mexico",14.5,"11.9 (10.6, 13.2)","1.7 (1.5, 1.9)",9.4,52.8,1.2,44.9
"1829","Albany County, New York",54.4,"11.6 (11, 12.2)","6.3 (6, 6.6)",13.9,56.9,7.9,2.3
"1830","Allegany County, New York",9.2,"10.2 (9.6, 10.7)","0.9 (0.9, 1)",11.6,51.7,0.5,0.7
"1831","Bronx County, New York",192.6,"16.6 (15.1, 18.1)","31.9 (29, 34.8)",14,60.3,30.1,46.9
"1832","Broome County, New York",37.6,"11.7 (11.1, 12.2)","4.4 (4.2, 4.6)",15.4,55.9,2.3,1.3
"1833","Cattaraugus County, New York",15.4,"10.2 (9.7, 10.7)","1.6 (1.5, 1.6)",11.6,53.1,0.8,0.5
"1834","Cayuga County, New York",15.6,"10.6 (10.1, 11.1)","1.7 (1.6, 1.7)",12.9,52.9,1.3,0.9
"1835","Chautauqua County, New York",26.7,"10.9 (10.4, 11.5)","2.9 (2.8, 3.1)",13.8,54.4,1.2,2.2
"1836","Chemung County, New York",16.5,"11 (10.5, 11.6)","1.8 (1.7, 1.9)",13.4,55.6,3.4,1.1
"1837","Chenango County, New York",10,"10.3 (9.7, 10.8)","1 (1, 1.1)",11.4,52,0.8,1.1
